,Date,Flow
1,Jan-97,877.00
2,Feb-97,1079.99
3,Mar-97,1129.06
4,Apr-97,706.90
5,May-97,1141.48
6,Jun-97,843.56
7,Jul-97,1043.37
8,Aug-97,766.23
9,Sep-97,953.49
10,Oct-97,983.55
11,Nov-97,1284.24
12,Dec-97,1325.68
13,Jan-98,1020.98
14,Feb-98,1039.77
15,Mar-98,1142.54
16,Apr-98,1226.33
17,May-98,1265.20
18,Jun-98,791.73
19,Jul-98,1563.06
20,Aug-98,830.81
21,Sep-98,1023.35
22,Oct-98,1156.18
23,Nov-98,720.59
24,Dec-98,1542.06
25,Jan-99,686.92
26,Feb-99,1191.76
27,Mar-99,1023.34
28,Apr-99,738.23
29,May-99,1289.20
30,Jun-99,639.30
31,Jul-99,1093.28
32,Aug-99,1162.94
33,Sep-99,833.64
34,Oct-99,1122.55
35,Nov-99,585.04
36,Dec-99,1451.16
37,Jan-00,673.78
38,Feb-00,1355.67
39,Mar-00,641.83
40,Apr-00,1031.42
41,May-00,1121.99
42,Jun-00,933.82
43,Jul-00,1026.74
44,Aug-00,699.11
45,Sep-00,1417.42
46,Oct-00,308.28
47,Nov-00,1383.32
48,Dec-00,504.09
49,Jan-01,1230.32
50,Feb-01,867.74
51,Mar-01,1401.95
52,Apr-01,823.20
53,May-01,1156.28
54,Jun-01,1083.57
55,Jul-01,935.82
56,Aug-01,1178.03
57,Sep-01,869.70
58,Oct-01,1204.78
59,Nov-01,1082.17
60,Dec-01,1256.49
61,Jan-02,1468.90
62,Feb-02,1059.85
63,Mar-02,1169.67
64,Apr-02,1029.45
65,May-02,1069.75
66,Jun-02,1444.50
67,Jul-02,1115.94
68,Aug-02,1751.10
69,Sep-02,887.15
70,Oct-02,1307.37
71,Nov-02,691.14
72,Dec-02,868.81
73,Jan-03,1064.80
74,Feb-03,829.36
75,Mar-03,1025.78
76,Apr-03,1022.09
77,May-03,926.57
78,Jun-03,1171.91
79,Jul-03,884.81
80,Aug-03,1160.51
81,Sep-03,970.61
82,Oct-03,1038.75
83,Nov-03,1315.92
84,Dec-03,963.76
85,Jan-04,979.33
86,Feb-04,983.91
87,Mar-04,1117.54
88,Apr-04,1138.41
89,May-04,913.50
90,Jun-04,1160.96
91,Jul-04,871.51
92,Aug-04,1121.91
93,Sep-04,1001.90
94,Oct-04,1022.76
95,Nov-04,913.03
96,Dec-04,1090.42
97,Jan-05,600.77
98,Feb-05,1217.10
99,Mar-05,868.93
100,Apr-05,937.27
101,May-05,775.62
102,Jun-05,960.68
103,Jul-05,1012.01
104,Aug-05,1261.01
105,Sep-05,983.86
106,Oct-05,844.19
107,Nov-05,1449.26
108,Dec-05,737.59
109,Jan-06,1173.79
110,Feb-06,867.35
111,Mar-06,769.22
112,Apr-06,1048.08
113,May-06,854.17
114,Jun-06,798.64
115,Jul-06,902.16
116,Aug-06,857.36
117,Sep-06,1221.86
118,Oct-06,996.69
119,Nov-06,1242.47
120,Dec-06,787.02
121,Jan-07,774.30
122,Feb-07,978.21
123,Mar-07,1140.66
124,Apr-07,1278.71
125,May-07,957.79
126,Jun-07,1021.95
127,Jul-07,953.00
128,Aug-07,734.84
